{'instruction': 4162057, 'rip': '0x180c25b1f', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x181b2a670'}
{'instruction': 4162059, 'rip': '0x180c25b2d', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162059, 'rip': '0x180c25b2d', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x1e94db9ec'}
{'instruction': 4162060, 'rip': '0x180c25b32', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162061, 'rip': '0x180c25b34', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162070, 'rip': '0x180c25b85', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x7ffe1febd8'}
{'instruction': 4162071, 'rip': '0x180c25b89', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162071, 'rip': '0x180c25b89', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x7ffe1febe0'}
{'instruction': 4162072, 'rip': '0x180c25b8e', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162072, 'rip': '0x180c25b8e', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x7ffe1febe0'}
{'instruction': 4162073, 'rip': '0x180c25b91', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162078, 'rip': '0x180c259e7', 'access': 'read', 'address': '0x7ffe1fec58', 'size': 8, 'value': '0x0'}
{'instruction': 4162078, 'rip': '0x180c259e7', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x6'}
{'instruction': 4162079, 'rip': '0x180c259e9', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x7fdef050'}
{'instruction': 4162080, 'rip': '0x180c259ee', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x181b2b7b4'}
{'instruction': 4162083, 'rip': '0x180c25a8c', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162083, 'rip': '0x180c25a8c', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '-0x3cf7c510'}
{'instruction': 4162084, 'rip': '0x180c25a91', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162085, 'rip': '0x180c25a93', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162091, 'rip': '0x180c25b4d', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x7df6cd19'}
{'instruction': 4162092, 'rip': '0x180c25b52', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x181b2b953'}
{'instruction': 4162093, 'rip': '0x180c25b56', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162096, 'rip': '0x180c25b5d', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162097, 'rip': '0x180c25b5e', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x6'}
{'instruction': 4162098, 'rip': '0x180c25b60', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162098, 'rip': '0x180c25b60', 'access': 'write', 'address': '0x7ffe1fec60', 'size': 8, 'value': '0x6'}
{'instruction': 4162099, 'rip': '0x180c25b62', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162101, 'rip': '0x180c25b6d', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x7ffe1fec68'}
{'instruction': 4162102, 'rip': '0x180c25b6e', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x18098c884'}
{'instruction': 4162103, 'rip': '0x180c25b6f', 'access': 'write', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x0'}
{'instruction': 4162105, 'rip': '0x180c25b7b', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162105, 'rip': '0x180c25b7b', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x129d16b96'}
{'instruction': 4162107, 'rip': '0x180c25c2b', 'access': 'read', 'address': '0x7ffe1febc8', 'size': 8, 'value': '0x0'}
{'instruction': 4162108, 'rip': '0x180c25c2d', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162110, 'rip': '0x180c25c35', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x18098c884'}
{'instruction': 4162111, 'rip': '0x180c25c36', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162112, 'rip': '0x180c25c38', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162115, 'rip': '0x180c25c48', 'access': 'read', 'address': '0x7ffe1febe0', 'size': 8, 'value': '0x0'}
{'instruction': 4162115, 'rip': '0x180c25c48', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x58910e1c'}
{'instruction': 4162116, 'rip': '0x180c25c4b', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162116, 'rip': '0x180c25c4b', 'access': 'write', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x58910e1c'}
{'instruction': 4162117, 'rip': '0x180c25c4e', 'access': 'read', 'address': '0x7ffe1febd0', 'size': 8, 'value': '0x0'}
{'instruction': 4162122, 'rip': '0x180c258b3', 'access': 'read', 'address': '0x7ffe1febe8', 'size': 8, 'value': '0x0'}
{'instruction': 4162122, 'rip': '0x180c258b3', 'access': 'write', 'address': '0x7ffe1febe0', 'size': 8, 'value': '0x180667bd8'}
{'instruction': 4162123, 'rip': '0x180c258b6', 'access': 'read', 'address': '0x7ffe1febe0', 'size': 8, 'value': '0x0'}
{'instruction': 4162123, 'rip': '0x180c258b6', 'access': 'write', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x180667bd8'}
{'instruction': 4162124, 'rip': '0x180c258b9', 'access': 'read', 'address': '0x7ffe1febd8', 'size': 8, 'value': '0x0'}
{'instruction': 4162129, 'rip': '0x180c25874', 'access': 'read', 'address': '0x7ffe1febf0', 'size': 8, 'value': '0x0'}
{'instruction': 4162129, 'rip': '0x180c25874', 'access': 'write', 'address': '0x7ffe1febe8', 'size': 8, 'value': '0x1807da5e0'}
{'instruction': 4162130, 'rip': '0x180c25877', 'access': 'read', 'address': '0x7ffe1febe8', 'size': 8, 'value': '0x0'}
{'instruction': 4162130, 'rip': '0x180c25877', 'access': 'write', 'address': '0x7ffe1febe0', 'size': 8, 'value': '0x1807da5e0'}
{'instruction': 4162131, 'rip': '0x180c2587a', 'access': 'read', 'address': '0x7ffe1febe0', 'size': 8, 'value': '0x0'}
{'instruction': 4162135, 'rip': '0x180c25890', 'access': 'read', 'address': '0x7ffe1febf8', 'size': 8, 'value': '0x0'}
{'instruction': 4162135, 'rip': '0x180c25890', 'access': 'write', 'address': '0x7ffe1febf0', 'size': 8, 'value': '0x1807da5c0'}
{'instruction': 4162137, 'rip': '0x180c25c65', 'access': 'read', 'address': '0x7ffe1febf0', 'size': 8, 'value': '0x0'}
