1296602 0x180a83137 4881c280000000 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c800', 'rsi': '0x180c66d15', 'rdi': '0x18098c884', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x180c66d15', 'r12': '0x817fde175a', 'r13': '0x31', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a83137'}
1296603 0x180a8313e 4881c7e5000000 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x180c66d15', 'rdi': '0x18098c884', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x180c66d15', 'r12': '0x817fde175a', 'r13': '0x31', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a8313e'}
1296604 0x180a83145 4909c5 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x180c66d15', 'rdi': '0x18098c969', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x180c66d15', 'r12': '0x817fde175a', 'r13': '0x31', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a83145'}
1296605 0x180a83148 49c7c300000000 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x180c66d15', 'rdi': '0x18098c969', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x180c66d15', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a83148'}
1296606 0x180a8314f 4d89e6 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x180c66d15', 'rdi': '0x18098c969', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x0', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x8a', 'r15': '0x1809d3c3d', 'rip': '0x180a8314f'}
1296607 0x180a83152 48c7c001000000 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x180c66d15', 'rdi': '0x18098c969', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x0', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x1809d3c3d', 'rip': '0x180a83152'}
1296608 0x180a83159 4989ef {'rax': '0x1', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x180c66d15', 'rdi': '0x18098c969', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x0', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x1809d3c3d', 'rip': '0x180a83159'}
1296609 0x180a8315c 480501000000 {'rax': '0x1', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x180c66d15', 'rdi': '0x18098c969', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x0', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c884', 'rip': '0x180a8315c'}
1296610 0x180a83162 4981c700000000 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x180c66d15', 'rdi': '0x18098c969', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x0', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c884', 'rip': '0x180a83162'}
1296611 0x180a83169 4981e308000000 {'rax': '0x2', 'rbx': '0xfffffffffffeffc1', 'rcx': '0xffffff8001e03040', 'rdx': '0x18018c880', 'rsi': '0x180c66d15', 'rdi': '0x18098c969', 'rbp': '0x18098c884', 'rsp': '0x7ffe1fece0', 'r8': '0xffffffffffff056a', 'r9': '0xffffffffffffff50', 'r10': '0x180c66d15', 'r11': '0x0', 'r12': '0x817fde175a', 'r13': '0x33', 'r14': '0x817fde175a', 'r15': '0x18098c884', 'rip': '0x180a83169'}
